SUMLEV,STATE,COUNTY,PLACE,NAME,STNAME,POPESTIMATE2019
40,1,0,0,Alabama,Alabama,4903185
162,1,0,124,Abbeville city,Alabama,2560
162,1,0,460,Adamsville city,Alabama,4281
162,1,0,484,Addison town,Alabama,718
162,1,0,676,Akron town,Alabama,328
162,1,0,820,Alabaster city,Alabama,33487
162,1,0,988,Albertville city,Alabama,21711
162,1,0,1132,Alexander City city,Alabama,14317
162,1,0,1228,Aliceville city,Alabama,2254
162,1,0,1396,Allgood town,Alabama,650
162,1,0,1660,Altoona town,Alabama,913
162,1,0,1708,Andalusia city,Alabama,8680
162,1,0,1756,Anderson town,Alabama,267
162,1,0,1852,Anniston city,Alabama,21287
162,1,0,2116,Arab city,Alabama,8383
162,1,0,2260,Ardmore town,Alabama,1463
162,1,0,2320,Argo town,Alabama,4348
162,1,0,2428,Ariton town,Alabama,739
162,1,0,2500,Arley town,Alabama,345
162,1,0,2836,Ashford town,Alabama,2181
162,1,0,2860,Ashland town,Alabama,1895
162,1,0,2908,Ashville city,Alabama,2365
162,1,0,2956,Athens city,Alabama,27366
162,1,0,3004,Atmore city,Alabama,9107
162,1,0,3028,Attalla city,Alabama,5771
162,1,0,3076,Auburn city,Alabama,66259
162,1,0,3220,Autaugaville town,Alabama,871
162,1,0,3364,Avon town,Alabama,510
162,1,0,3556,Babbie town,Alabama,596
162,1,0,3676,Baileyton town,Alabama,619
162,1,0,3724,Bakerhill town,Alabama,252
162,1,0,3940,Banks town,Alabama,164
162,1,0,4660,Bay Minette city,Alabama,9354
162,1,0,4684,Bayou La Batre city,Alabama,2479
162,1,0,4852,Bear Creek town,Alabama,1068
162,1,0,4900,Beatrice town,Alabama,278
162,1,0,4948,Beaverton town,Alabama,187
162,1,0,5164,Belk town,Alabama,204
162,1,0,5692,Benton town,Alabama,41
162,1,0,5812,Berlin town,Alabama,460
162,1,0,5932,Berry town,Alabama,1095
162,1,0,5980,Bessemer city,Alabama,26472
162,1,0,6460,Billingsley town,Alabama,142
162,1,0,7000,Birmingham city,Alabama,209403
162,1,0,7120,Black town,Alabama,203
162,1,0,7456,Blountsville town,Alabama,1670
162,1,0,7672,Blue Springs town,Alabama,87
162,1,0,7912,Boaz city,Alabama,9704
162,1,0,8104,Boligee town,Alabama,280
162,1,0,8248,Bon Air town,Alabama,110
162,1,0,9016,Brantley town,Alabama,768
162,1,0,9136,Brent city,Alabama,4747
162,1,0,9208,Brewton city,Alabama,5210
162,1,0,9328,Bridgeport city,Alabama,2297
162,1,0,9400,Brighton city,Alabama,2775
162,1,0,9424,Brilliant town,Alabama,873
162,1,0,9736,Brookside town,Alabama,1329
162,1,0,9808,Brookwood town,Alabama,1848
162,1,0,10240,Brundidge city,Alabama,1902
162,1,0,11032,Butler town,Alabama,1721
162,1,0,11416,Calera city,Alabama,14717
162,1,0,11512,Camden city,Alabama,1765
162,1,0,11680,Camp Hill town,Alabama,950
162,1,0,12016,Carbon Hill city,Alabama,1892
162,1,0,12040,Cardiff town,Alabama,55
162,1,0,12160,Carolina town,Alabama,295
162,1,0,12304,Carrollton town,Alabama,943
162,1,0,12496,Castleberry town,Alabama,540
162,1,0,12760,Cedar Bluff town,Alabama,1823
162,1,0,13264,Center Point city,Alabama,16110
162,1,0,13648,Centre city,Alabama,3542
162,1,0,13672,Centreville city,Alabama,2609
162,1,0,14008,Chatom town,Alabama,1182
162,1,0,14104,Chelsea city,Alabama,14126
162,1,0,14152,Cherokee town,Alabama,1008
162,1,0,14392,Chickasaw city,Alabama,5702
162,1,0,14464,Childersburg city,Alabama,4837
162,1,0,15064,Citronelle city,Alabama,3861
162,1,0,15136,Clanton city,Alabama,8794
162,1,0,15256,Clay city,Alabama,9923
162,1,0,15304,Clayhatchee town,Alabama,585
162,1,0,15376,Clayton town,Alabama,2847
162,1,0,15472,Cleveland town,Alabama,1306
162,1,0,15640,Clio city,Alabama,1274
162,1,0,16000,Coaling town,Alabama,1663
162,1,0,16240,Coffee Springs town,Alabama,214
162,1,0,16264,Coffeeville town,Alabama,322
162,1,0,16312,Coker town,Alabama,964
162,1,0,16600,Collinsville town,Alabama,2009
162,1,0,16684,Colony town,Alabama,289
162,1,0,16744,Columbia town,Alabama,737
162,1,0,16768,Columbiana city,Alabama,4550
162,1,0,17176,Coosada town,Alabama,1298
162,1,0,17368,Cordova city,Alabama,1850
162,1,0,17824,Cottonwood town,Alabama,1255
162,1,0,17968,County Line town,Alabama,265
162,1,0,18040,Courtland town,Alabama,588
162,1,0,18088,Cowarts town,Alabama,2079
162,1,0,18304,Creola city,Alabama,2036
162,1,0,18856,Crossville town,Alabama,1857
162,1,0,18952,Cuba town,Alabama,290
162,1,0,18976,Cullman city,Alabama,16034
162,1,0,19216,Cusseta town,Alabama,124
162,1,0,19336,Dadeville city,Alabama,3053
162,1,0,19360,Daleville city,Alabama,5102
162,1,0,19648,Daphne city,Alabama,26869
162,1,0,19744,Dauphin Island town,Alabama,1335
162,1,0,19816,Daviston town,Alabama,210
162,1,0,19912,Dayton town,Alabama,46
162,1,0,20008,Deatsville town,Alabama,1237
162,1,0,20104,Decatur city,Alabama,54445
162,1,0,20296,Demopolis city,Alabama,6612
162,1,0,20392,Detroit town,Alabama,220
162,1,0,20955,Dodge City town,Alabama,623
162,1,0,21136,Dora city,Alabama,1905
162,1,0,21184,Dothan city,Alabama,68941
162,1,0,21280,Double Springs town,Alabama,1062
162,1,0,21328,Douglas town,Alabama,778
162,1,0,21448,Dozier town,Alabama,320
162,1,0,21952,Dutton town,Alabama,314
162,1,0,22216,East Brewton city,Alabama,2356
162,1,0,22816,Eclectic town,Alabama,1013
162,1,0,23176,Edwardsville town,Alabama,196
162,1,0,23296,Elba city,Alabama,3811
162,1,0,23320,Elberta town,Alabama,1746
162,1,0,23344,Eldridge town,Alabama,123
162,1,0,23488,Elkmont town,Alabama,510
162,1,0,23656,Elmore town,Alabama,1348
162,1,0,23872,Emelle town,Alabama,48
162,1,0,24184,Enterprise city,Alabama,28376
162,1,0,24256,Epes town,Alabama,329
162,1,0,24472,Ethelsville town,Alabama,73
162,1,0,24568,Eufaula city,Alabama,11709
162,1,0,24664,Eutaw town,Alabama,2603
162,1,0,24688,Eva town,Alabama,499
162,1,0,24808,Evergreen city,Alabama,3526
162,1,0,24880,Excel town,Alabama,632
162,1,0,25120,Fairfield city,Alabama,10568
162,1,0,25240,Fairhope city,Alabama,22677
162,1,0,25384,Fairview town,Alabama,463
162,1,0,25648,Falkville town,Alabama,1257
162,1,0,25816,Faunsdale town,Alabama,92
162,1,0,25840,Fayette city,Alabama,4275
162,1,0,26200,Five Points town,Alabama,143
162,1,0,26824,Flomaton town,Alabama,1393
162,1,0,26848,Florala town,Alabama,1906
162,1,0,26896,Florence city,Alabama,40797
162,1,0,26992,Foley city,Alabama,20391
162,1,0,27376,Forkland town,Alabama,588
162,1,0,27520,Fort Deposit town,Alabama,1155
162,1,0,27616,Fort Payne city,Alabama,14074
162,1,0,28024,Franklin town,Alabama,512
162,1,0,28312,Frisco City town,Alabama,1153
162,1,0,28432,Fruithurst town,Alabama,280
162,1,0,28504,Fulton town,Alabama,246
